"","family","latin","common","n"
"1","Cisticolidae","Orthotomus ruficeps","Ashy Tailorbird",302
"2","Cisticolidae","Prinia familiaris","Bar-winged Prinia",296
"3","Alcedinidae","Halcyon smyrnensis","White-breasted Kingfisher",154
"4","Cisticolidae","Orthotomus sericeus","Rufous-tailed Tailorbird",123
"5","Pycnonotidae","Pycnonotus goiavier","Yellow-vented Bulbul",103
"6","Paridae","Parus minor","Japanese Tit",102
"7","Columbidae","Spilopelia chinensis","Spotted Dove",99
"8","Cuculidae","Centropus sinensis","Greater Coucal",96
"9","Rhipiduridae","Rhipidura javanica","Sunda Pied Fantail",86
"10","Columbidae","Geopelia striata","Zebra Dove",70
"11","Rallidae","Amaurornis phoenicurus","White-breasted Waterhen",28
"12","Pycnonotidae","Pycnonotus aurigaster","Sooty-headed Bulbul",24
"13","Hirundinidae","Hirundo rustica","Barn swallow",11
"14","Muscicapidae","Copsychus saularis","Oriental Magpie-Robin",7
"15","Pycnonotidae","Pycnonotus plumosus","Olive-winged Bulbul",7
"16","Phasianidae","Gallus gallus","Red Junglefowl",5
"17","Picidae","Micropternus brachyurus","Rufous Woodpecker",3
"18","Timaliidae","Macronus gularis","Pin-striped Tit-Babbler",3
"19","Cuculidae","Cacomantis merulinus","Plaintive Cuckoo",2
"20","Oriolidae","Oriolus chinensis","Black-naped oriole",2
"21","Podargidae","Batrachostomus cornutus","Sunda Frogmouth",2
"22","Rhipiduridae","Rhipidura javanica","Pied fantail",2
"23","Accipitridae","Spilornis cheela","Crested  Serpent-Eagle",1
"24","Apodidae","Aerodramus fuciphagus","Edible-nest swiftlet",1
"25","Artamiidae","Artamus leucorynchus","White-breasted Wood-swallow",1
"26","Corvidae","Corvus enca","Slender-billed crow",1
"27","Oriolidae","Oriolus chinensis","Black-naped Oriole",1
"28","Passeridae","Passer montanus","Eurasian Tree Sparrow",1
"29","Timaliidae","Mixornis gularis","Striped Tit Babbler",1
