record,common,latin,family,distance,detection,plot,treatment,date,stage,round,uncertain,notes,time,id
R001,Ashy Tailorbird,Orthotomus ruficeps,Cisticolidae,30,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R002,Bar-winged Prinia,Prinia familiaris,Cisticolidae,40,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R003,Oriental Magpie-Robin,Copsychus saularis,Muscicapidae,50,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R004,Sunda Pied Fantail,Rhipidura javanica,Rhipiduridae,50,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R005,White-breasted Kingfisher,Halcyon smyrnensis,Alcedinidae,70,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R006,Yellow-vented Bulbul,Pycnonotus goiavier,Pycnonotidae,40,H,C10,reduced,04/10/2013,Before,1,0,.,NA,G
R007,Bar-winged Prinia,Prinia familiaris,Cisticolidae,50,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R008,Bar-winged Prinia,Prinia familiaris,Cisticolidae,50,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R009,Bar-winged Prinia,Prinia familiaris,Cisticolidae,50,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R010,Greater Coucal,Centropus sinensis,Cuculidae,70,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R011,Greater Coucal,Centropus sinensis,Cuculidae,70,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R012,Pin-striped Tit-Babbler,Macronus gularis,Timaliidae,40,H,C11,enhanced,04/10/2013,Before,1,0,confirmed,NA,G
R013,Spotted Dove,Spilopelia chinensis,Columbidae,50,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R014,Sunda Pied Fantail,Rhipidura javanica,Rhipiduridae,60,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R015,Unidentified,NA,NA,40,H,C11,enhanced,04/10/2013,Before,1,1,undetermined,NA,G
R016,White-breasted Waterhen,Amaurornis phoenicurus,Rallidae,60,H,C11,enhanced,04/10/2013,Before,1,0,.,NA,G
R017,Yellow-vented Bulbul,Pycnonotus goiavier,Pycnonotidae,40,H,C11,enhanced,04/10/2013,Before,1,0,"40 written instead of O/H - check original notes, but probably a data entry error and H",NA,G
R018,Ashy Tailorbird,Orthotomus ruficeps,Cisticolidae,20,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R019,Ashy Tailorbird,Orthotomus ruficeps,Cisticolidae,20,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R020,Bar-winged Prinia,Prinia familiaris,Cisticolidae,40,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R021,Bar-winged Prinia,Prinia familiaris,Cisticolidae,30,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R022,Greater Coucal,Centropus sinensis,Cuculidae,50,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R023,Greater Coucal,Centropus sinensis,Cuculidae,50,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R024,Spotted Dove,Spilopelia chinensis,Columbidae,70,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R025,Spotted Dove,Spilopelia chinensis,Columbidae,60,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R026,White-breasted Kingfisher,Halcyon smyrnensis,Alcedinidae,60,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R027,Yellow-vented Bulbul,Pycnonotus goiavier,Pycnonotidae,30,H,C12,normal,04/10/2013,Before,1,0,.,NA,G
R028,Ashy Tailorbird,Orthotomus ruficeps,Cisticolidae,20,H,C17,enhanced,04/10/2013,Before,1,0,.,NA,G
R029,Bar-winged Prinia,Prinia familiaris,Cisticolidae,30,H,C17,enhanced,04/10/2013,Before,1,0,.,NA,G
R030,Spotted Dove,Spilopelia chinensis,Columbidae,47,O,C17,enhanced,04/10/2013,Before,1,0,.,NA,G
R031,Sunda Pied Fantail,Rhipidura javanica,Rhipiduridae,30,H,C17,enhanced,04/10/2013,Before,1,0,.,NA,G
R032,Unidentified,NA,NA,40,H,C17,enhanced,04/10/2013,Before,1,1,undetermined,NA,G
R033,White-breasted Kingfisher,Halcyon smyrnensis,Alcedinidae,40,H,C17,enhanced,04/10/2013,Before,1,0,.,NA,G
R034,Ashy Tailorbird,Orthotomus ruficeps,Cisticolidae,30,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
R035,Bar-winged Prinia,Prinia familiaris,Cisticolidae,50,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
R036,Greater Coucal,Centropus sinensis,Cuculidae,40,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
R037,Greater Coucal,Centropus sinensis,Cuculidae,40,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
R038,Spotted Dove,Spilopelia chinensis,Columbidae,30,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
R039,Sunda Pied Fantail,Rhipidura javanica,Rhipiduridae,60,H,C18,normal,04/10/2013,Before,1,0,.,NA,G
