SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
362,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,Gallus gallus,Red Junglefowl,30,0,0,0,0,0,20,0,20,30,Omnivore,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,751.72,Dunning08,1,,
934,Nonpasseriformes,Piciformes,Picidae,Woodpeckers,95,BL3,Dendrocopos moluccensis,Sunda Woodpecker,70,0,0,0,0,0,20,10,0,0,Invertebrate,Ref_7,A,Jennifer,0,0,0,80,20,0,0,0,Ref_7,1,Jessica,0,16.15,Dunning08,1,,
1009,Nonpasseriformes,Piciformes,Picidae,Woodpeckers,95,BL3,Celeus brachyurus,Rufous Woodpecker,80,0,0,0,0,0,10,10,0,0,Invertebrate,Ref_7,A,Jennifer,0,0,10,30,30,30,0,0,Ref_7,1,Jessica,0,85.94,Dunning08,1,,
1584,Nonpasseriformes,Coraciiformes,Alcedinidae,Kingfishers,85,BL3,Halcyon smyrnensis,White-throated Kingfisher,30,0,30,40,0,0,0,0,0,0,VertFishScav,Ref_6,A,Hamish,40,20,40,0,0,0,0,0,Ref_6,1,Other,0,91.4,Dunning08,1,,
1759,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Cacomantis merulinus,Plaintive Cuckoo,80,0,0,0,0,0,20,0,0,0,Invertebrate,Ref_4,A,Carolina,0,0,0,0,40,60,0,0,Ref_4,1,Jessica,0,25.3,Dunning08,1,,
1834,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Centropus sinensis,Greater Coucal,30,30,0,0,0,0,20,0,20,0,Omnivore,Ref_4,A,Carolina,0,0,70,30,0,0,0,0,Ref_4,1,Jessica,0,280.7,Dunning08,1,,
2377,Nonpasseriformes,Apodiformes,Apodidae,Swifts,77,BL3,Collocalia fuciphaga,Edible-nest Swiftlet,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,0,0,0,0,100,0,Ref_5,1,Christian,0,10.7,Dunning08,1,,
2878,Nonpasseriformes,Strigiformes,Tytonidae,Barn owls,70,BL3,Tyto alba,Barn Owl,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,1,403.32,Dunning08,1,,
3171,Nonpasseriformes,Caprimulgiformes,Podargidae,Frogmouths,72,BL3,Batrachostomus cornutus,Sunda Frogmouth,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,1,85.86,GenAvg,0,,
3385,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,Stigmatopelia chinensis,Spotted Dove,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_4,A,Carolina,0,0,100,0,0,0,0,0,Ref_4,1,Jessica,0,159,Dunning08,1,,
